WELL_NAME,WATER_CUT,LIQ_RATE,OIL_RATE,WATER_RATE,Q_LIQ_ACCUM,Q_OIL_ACCUM,Q_WATER_ACCUM
74,1.296986855515108e-22,8.353882297095109e-25,5.435462154262516e-20,2.2795802849879554e-27,7.758189799775534e-08,8.520700545924085e-16,5.484591888305803e-23
75,1.8952832388158684e-17,7.015243145687831e-20,1.6330843746002241e-19,8.831555861036657e-23,6.211779150993235e-11,2.2454158318726013e-07,1.2954044589913862e-10
76,8.237489165520398e-28,5.0374647253991446e-24,6.871324007556277e-24,7.895648714020365e-28,3.7307892040380676e-12,2.9384238659458644e-11,3.817622025101318e-19
77,1.8068113357041508e-16,1.1286505494799482e-22,4.533814338066738e-22,2.660603512337817e-19,9.943058116111823e-11,2.0159140312169844e-10,4.928478758704e-08
78,4.28149853397496e-20,1.54828169179755e-24,2.2253747551277454e-21,1.2831991022955776e-25,5.215272552120606e-16,6.229851107612599e-15,0.001665641410470679
81,1.1935964920107853e-14,1.726697974535896e-09,2.542393115295882e-09,7.048125556628493e-17,2.9792626222379135e-06,1.1757270778091817e-06,6.908207962097241e-06
82,3.329544784037487e-22,8.204624795844733e-19,6.494312741912571e-20,6.642707233284518e-22,1.7002457993983702e-07,3.2686016331269843e-09,4.184965956227652e-07
83,1.2048779570670096e-16,4.2807739764698895e-17,2.274488734987327e-16,1.9379569490878505e-16,6.0538294091350355e-06,0.00012211302295395276,1.0140944012911112e-09
84,3.1193990645111184e-19,1.2040131868955852e-09,4.745952266570692e-17,9.746787557546256e-18,0.00015345412459836274,4.0850160256564085e-05,1.838825439729647e-08
85,2.2832735415684775e-11,4.535438192283013e-16,2.3583878401937104e-15,1.4297618515903036e-15,2.4124957190118645e-05,0.00019651904389706646,9.788877275904155e-05
86,7.895828724774088e-18,3.1736430750385898e-18,7.227302551853611e-18,1.2571879629879752e-18,0.005069321239241949,0.02622273843993908,5.321221204480392e-10
87,2.484091581088326e-11,5.629301679814508e-15,1.6191007174758738e-18,3.015277155693531e-17,0.0002790991069074086,0.010033516438198593,4.189516040782025e-11
88,3.4720478592158974e-19,7.450422809447983e-16,4.731344338915632e-16,1.1031956396701765e-15,0.002809110853243077,0.004791537659284196,4.3230814450169005e-06
89,2.203377668684626e-16,4.2800897197991993e-07,3.791712895901722e-07,1.9989914155464762e-07,2.1845830390963955e-06,2.081324137384278e-06,8.323983808707395e-05
90,9.589668152892304e-08,2.2666454108843574e-19,9.995363010510942e-20,1.4483947915541354e-20,0.004376251532042426,0.00032756738904587366,4.002714056721623e-05
91,1.4721947254014433e-11,1.5798185062411933e-11,1.9733393866759848e-11,1.1662383141099388e-15,2.6209841249645393e-06,1.5924602784529038e-06,0.01792623825822335
93,1.2421386551792646e-25,7.863155689514318e-23,4.081494595059646e-24,4.50525069869963e-23,4.73021052960945e-13,7.136135256211239e-12,1.4656571952738265e-17
94,1.8793112916289207e-10,5.674984393459564e-19,2.8980937071252774e-10,7.568515227397838e-20,1.6849322827755994e-06,4.308121413279412e-08,3.6698856524226727e-07
95,1.781974404269213e-18,4.326799026146304e-19,3.144680505904433e-17,4.2496973323786434e-19,3.6053909957686746e-06,6.433058190926736e-07,1.5915686357290779e-13
97,3.9209438021611325e-17,5.416188380805737e-14,5.4634798218153416e-14,4.7994030054595017e-17,5.934291198511747e-07,2.861228859100162e-07,0.00019841778693552843
100,3.710357156284844e-18,1.0100120230749986e-19,9.165884210465986e-20,1.5083794303265688e-19,0.00022047494668691952,0.00016471364203144966,7.14134165278736e-05
102,1.6030855479123427e-13,1.3096478814800117e-17,1.494619235830247e-17,4.294348701935955e-14,0.00014877369564878065,4.7860285536697794e-05,1.0658348919537312e-06
103,1.487277009370289e-20,7.212573911964956e-20,4.2070713123603026e-17,2.5425436806131634e-20,3.0047821265043906e-10,9.720287466608624e-09,2.0642306929111804e-11
104,3.466075860164595e-18,3.8002420076577276e-17,1.3613927333843866e-15,1.6498612929062876e-17,1.3753282154562186e-07,7.723588567298692e-05,1.3358650375679093e-10
105,5.885821814344343e-23,1.5479922733618876e-16,5.15366577613044e-19,9.891036584495689e-23,0.01893373375963169,0.006720444027745245,4.480425326232431e-11
106,6.81768998477432e-22,3.716493282325231e-08,3.468056581672855e-08,9.29532066613647e-22,3.3859097010914364e-08,4.569845543100699e-08,2.9965339819828747e-08
107,1.209786339320941e-19,1.3081745050519413e-21,1.3439066930285745e-21,5.109039986172188e-22,1.0070350298686805e-05,0.00012288275249426627,4.713063069901396e-09
