WELL_NAME,DATE,_merge
1.0,2021-03-15,left_only
1.0,2021-03-16,left_only
1.0,2021-03-17,left_only
1.0,2021-03-18,left_only
1.0,2021-03-19,left_only
1.0,2021-03-20,left_only
1.0,2021-03-21,left_only
1.0,2021-03-22,left_only
1.0,2021-03-23,left_only
1.0,2021-03-24,left_only
1.0,2021-03-25,left_only
1.0,2021-03-26,left_only
1.0,2021-03-27,left_only
1.0,2021-03-28,left_only
1.0,2021-03-29,left_only
1.0,2021-03-30,left_only
1.0,2021-03-31,left_only
1.0,2021-04-01,left_only
1.0,2021-04-02,left_only
1.0,2021-04-03,left_only
1.0,2021-04-04,left_only
1.0,2021-04-05,left_only
1.0,2021-04-06,left_only
1.0,2021-04-07,left_only
1.0,2021-04-08,left_only
1.0,2021-04-09,left_only
1.0,2021-04-10,left_only
1.0,2021-04-11,left_only
1.0,2021-04-12,left_only
1.0,2021-04-13,left_only
1.0,2021-04-14,left_only
1.0,2021-04-15,left_only
1.0,2021-04-16,left_only
1.0,2021-04-17,left_only
1.0,2021-04-18,left_only
1.0,2021-04-19,left_only
1.0,2021-04-20,left_only
1.0,2021-04-21,left_only
1.0,2021-04-22,left_only
1.0,2021-04-23,left_only
1.0,2021-04-24,left_only
1.0,2021-04-25,left_only
1.0,2021-04-26,left_only
1.0,2021-04-27,left_only
1.0,2021-04-28,left_only
1.0,2021-04-29,left_only
1.0,2021-04-30,left_only
1.0,2021-05-01,left_only
1.0,2021-05-02,left_only
1.0,2021-05-03,left_only
1.0,2021-05-04,left_only
1.0,2021-05-05,left_only
1.0,2021-05-06,left_only
1.0,2021-05-07,left_only
1.0,2021-05-08,left_only
1.0,2021-05-09,left_only
1.0,2021-05-10,left_only
1.0,2021-05-11,left_only
1.0,2021-05-12,left_only
1.0,2021-05-13,left_only
1.0,2021-05-14,left_only
1.0,2021-05-15,left_only
1.0,2021-05-16,left_only
1.0,2021-05-17,left_only
1.0,2021-05-18,left_only
1.0,2021-05-19,left_only
1.0,2021-05-20,left_only
